orf_plate,gene,decision,distance2,distance,threshold2,feature_count,usable_feature_count,control_rows,candidate_count,top_candidate,top_candidate_target,top_restoration_score,top_distance,top_target_match,top_target_list_match,best_target_rank,best_target_restoration_score,best_target_distance,has_target_candidate,positive_target_score,positive_top_score,shift_margin,replicate_consistency,data_source,source_hash,selection_rule_pass,selection_priority
BR00118050,ADA,TRANSITION,39.00110555472053,6.245086512989274,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.4881014418239241,3.196850781684579,False,False,184,0.1208702590621803,5.490241288299411,True,True,True,18.660895817022087,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110018.66633059963
BR00117006,COMT,TRANSITION,37.10773532415706,6.091611882265404,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5004939964057833,3.042796706757936,False,False,28,0.3351510500803902,4.050001763242636,True,True,True,15.832240819678956,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110015.8679551054
BR00117006,AKR1C1,TRANSITION,37.126229454616386,6.09312969290958,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.5006184243381095,3.042796706757936,False,False,182,0.0081801495588774,6.043286980740934,True,True,True,15.850734950138278,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110015.85622945565
BR00117006,GJB4,TRANSITION,27.37482608265529,5.232095763903341,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4184363505442963,3.042796706757936,False,False,47,0.1990640111993408,4.1905737941624635,True,True,True,6.099331578177178,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110006.12060817392
BR00118050,CCR1,TRANSITION,25.912347603745392,5.090417232776248,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.371986492364511,3.196850781684579,False,False,50,0.1986926848594592,4.078988565741877,True,True,True,5.572137866046948,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110005.59213786606
BR00118050,ITGB2,TRANSITION,23.556544882772343,4.853508512691859,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.3413319924495448,3.196850781684579,False,False,27,0.2077167984498082,3.845353263187408,True,True,True,3.216335145073902,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110003.25337218211
BR00117006,ALDH2,TRANSITION,23.898979721560245,4.888658274164829,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.3775804042516879,3.042796706757936,False,False,11,0.2333977142718306,3.747656607119452,True,True,True,2.6234852170821377,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,110002.714394308
BR00118039,ATM,TRANSITION,108.29899166386998,10.406680146130656,21.371183642407196,96,96,124,260,geldanamycin|HSP90AB1|BRD-K43570081-001-02-4,HSP90AB1,0.1886147601639494,8.4438266662661,False,False,202,-0.5697881808932987,16.33628349573442,True,False,True,86.9278080214628,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,100086.9327585165
BR00117006,BTK,TRANSITION,28.324849334375376,5.32210948162243,21.275494504478107,96,96,124,260,desonide|PLA2G1B|BRD-K21528677-001-04-4,PLA2G1B,0.4282724327140718,3.042796706757936,False,False,211,-0.3214151019544558,7.032715843272201,True,False,True,7.049354829897268,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,True,100007.0540941664
BR00118050,ALDH2,CONTINUOUS,20.07755706446932,4.480798708318565,20.340209737698444,96,96,124,260,ANR-94|ADORA2A|BRD-K31170746-001-01-6,ADORA2A,0.28654443330629,3.196850781684579,False,False,6,0.241508205053928,3.3986490550653476,True,True,True,-0.2626526732291232,not_available_in_cached_sweep,runs/kaggle_output/cpjump1_selection_sweep_results.csv,sha256:b79246463989a0a2676b2a6b84a1306ae15f2f3e5627680b686511df8e58f28a,False,10000.166666666666
